Flight,Airline,Origin/Destination,Date of departure,Date of arrival,Close contact rows
JQ504,Jetstar,Melbourne/Sydney,20 March 2020,20 March 2020,"20, 21, 22, 23, 24, 25, 26"
QF556,Qantas,Sydney/Brisbane,20 March 2020,20 March 2020,"11, 12, 13, 14, 15"
QF2213,Qantas,Sydney/Albury,20 March 2020,20 March 2020,"8, 9, 10, 11, 12"
QF2046,Qantas,Sydney/Dubbo,20 March 2020,20 March 2020,"12, 13, 14, 15, 16"
QF2229,Qantas,Sydney/Wagga,20 March 2020,20 March 2020,"13, 14, 15, 16, 17"
VA917,Virgin,Sydney/Brisbane,20 March 2020,20 March 2020,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
ZL166,Rex,Sydney/Orange,21 March 2020,21 March 2020,"6, 7, 8, 9, 10"
ZL463,Rex,Sydney/Narrandera,21 March 2020,21 March 2020,"7, 8, 9, 10, 11"
QF575,Qantas,Sydney/Perth,21 March 2020,21 March 2020,"26, 27, 28, 29, 30"
QF756,Qantas,Adelai​de/Sydney,21 March 2020,21 March 2020,"23, 24, 25, 26, 27"
TT352,Tiger,Sydney/Brisbane,21 March 2020,21 March 2020,"11, 12, 13, 14, 15"
VA570,Virgin,Perth/Sydney,21 March 2020,21 March 2020,"6, 7, 8, 9, 10"
JQ415,Jetstar,Gold Coast/Sydney,22 March 2020,22 March 2020,"13, 14, 15, 16, 17,"
QF432,Qantas,Melbourne/Sydney,22 March 2020,22 March 2020,"28, 29, 30, 31, 32"
QF556,Qantas,Sydney/Brisbane,22 March 2020,22 March 2020,"10, 11, 12, 13, 14"
QF1419,Qantas,Sydney/Canberra,22 March 2020,22 March 2020,"4, 5, 6, 7, 8"
VA982,Virgin,Brisbane/Sydney,22 March 2020,22 March 2020,"20, 21, 22, 23, 24"
VA992,Virgin,Brisbane/Sydney,22 March 2020,22 March 2020,"8, 9, 10, 11, 12"
JQ604,Jetstar,Sydney/Avalon,23 March 2020,23 March 2020,TBC
QF545,Qantas,Brisbane/Sydney,23 March 2020,23 March 2020,"19, 20, 21, 22, 23"
QF414,Qantas,Melbourne/Sydney,23 March 2020,23 March 2020,"15, 16, 17, 18, 19, 2027, 28, 29, 30, 31"
VA935,Virgin,Sydney/Brisbane,23 March 2020,23 March 2020,TBC
JQ526,Jetstar,Melbourne/Sydney,24 March 2020,24 March 2020,"1, 2, 3, 4, 5"
QF408,Qantas,Melbourne/Sydney,24 March 2020,24 March 2020,"1, 2, 3, 4"
VA962,Virgin,Brisbane/Sydney,24 March 2020,24 March 2020,"26, 27, 28, 29, 30"
QF2229,Qantas,Sydney/Wagga,25 March 2020,25 March 2020,"10, 11, 12, 13, 14"
QF566,Qantas,Perth/Sydney,25 March 2020,25 March 2020,"26, 27, 28, 29, 30, 3134, 35, 36, 37, 38"
QF520,Qantas,Sydney/Brisbane,26 March 2020,26 March 2020,"15, 16, 17, 18, 19"
